mat_1	mat_2	mat_3	mat_4	promedio	cant_mat	cal_1	gestion_plantel	tipo_plantel	nivel_estudios_padres	nivel_socioeco	escuela	genero	opsu
17	16	18	17	18.30	62	9	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
14	13	15	17	16.5	40	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
14	15	13	14	15.34	46	9	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	no
19	17	14	17	17	48	2	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	bajo	computacion	masculino	si
10	16	17	15	18	11	10	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
18	19	18	19	18	70	11	privado	escuela_tecnica	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	femenino	si
19	18	17	17	18	60	12	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	si
17	18	18	19	17.6	40	4	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	medio	quimica	femenino	si
15	17	19	18	17	45	3	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
15	16	19	17	17.2	40	4	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
18	19	18	19	18	55	11	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
16	17	17	18	17.07	48	7	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
14	16	18	18	17	32	18	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
16	14	15	18	16	40	4	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
18	17	18	19	17.67	40	6	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
12	14	15	16	14.25	12	10	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
18	18	18	18	18	40	11	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	femenino	si
18	18	19	19	18	50	6	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	fisica	femenino	si
19	20	19	17	17	35	4	publico	ciencias_basicas	no_hizo_estudios_escuela_primaria_incompleta	bajo	computacion	masculino	si
18	17	16	19	17.475	54	4	publico	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
18	20	13	15	17	30	10	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	femenino	si
17	17	17	15	17.5	41	5	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	masculino	si
18	14	13	15	14.13	40	11	privado	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	matematica	masculino	si
13	16	19	16	16.162	50	15	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	no
16	18	19	19	18.88	40	4	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	biologia	masculino	si
19	18	18	17	18.43	40	10	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
17	15	16	11	17	40	10	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
18	20	19	19	19.57	58	14	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
18	19	18	19	19	50	10	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	biologia	femenino	si
18	15	17	17	15	40	10	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	femenino	no
16	17	20	20	18.5	40	19	privado	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
18	17	19	19	15.5	43	7	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
19	19	15	19	18	40	14	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	quimica	femenino	si
18	17	18	16	18	39	10	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
18	18	18	18	18.5	34	11	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
16	17	18	18	18	35	9	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
15	16	13	14	16.6	43	14	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
18	16	15	16	15	45	0	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	biologia	masculino	no
17	18	15	15	14	48	10	privado	instituto_militar	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	biologia	femenino	no
15	17	18	19	17	60	4	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	fisica	masculino	si
18	19	18	18	18.3	42	15	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	matematica	masculino	no
16	17	16	18	16.9	30	11	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
20	19	19	14	17	50	17	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	fisica	masculino	si
14	14	20	20	17	40	14	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	fisica	masculino	si
13	14	13	20	15.45	53	5	publico	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	fisica	masculino	no
19	18	19	19	18.5	50	13	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	masculino	si
16	16	13	17	18	40	10	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
20	20	20	20	19.6	20	15	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	computacion	femenino	si
20	19	20	20	19	50	20	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	quimica	femenino	si
18	18	17	18	18.81	55	5	privado	escuela_tecnica	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	si
20	20	20	20	20	35	2	publico	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	bajo	quimica	masculino	si
16	12	11	14	16.5	42	10	privado	ciencias_basicas	escuela_primaria_completa_escuela_secundaria_incompleta	medio	computacion	femenino	si
16	17	16	14	18.05	51	7	privado	ciencias_basicas	estudio_superior_no_universitarios_completo_estudio_universitario_incompleto	medio	quimica	femenino	si
19	18	17	18	18	43	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	no
18	18	18	18	18.82	40	15	privado	escuela_tecnica	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	bajo	computacion	femenino	si
17	18	17	19	14	42	11	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	si
11	15	10	10	14	39	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	masculino	no
17	16	17	18	19.1	40	0	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	bajo	computacion	masculino	si
16	18	15	14	14	43	4	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	quimica	masculino	no
15	14	12	10	14.002	51	10	privado	ciencias_basicas	escuela_secundaria_completa_estudio_superior_no_universitario_incompleta	medio	computacion	masculino	no
19	17	18	19	19	40	8	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	biologia	masculino	si
14	14	16	16	17.35	36	12	privado	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	no
17	18	19	18	18.6	44	8	publico	ciencias_basicas	estudio_universitario_completo_estudios_de_posgrado	medio	computacion	femenino	si
